"method","experiment","metric","ccc","ccc_lower_ci","ccc_upper_ci"
"Matched_filter","sitting","HRV_LF","0.696659661716141","0.427578686145775","0.852335917444183"
"Matched_filter","sitting","HRV_HF","0.711362745555538","0.457369561583886","0.858047520564496"
"Matched_filter","sitting","HRV_LFHF","0.626207073792339","0.410885748738888","0.775359025150469"
"Matched_filter","sitting","HRV_LFn","0.796976656270687","0.605187934419357","0.901326776479129"
"Matched_filter","sitting","HRV_HFn","0.854990604796545","0.722292665580408","0.926969658337616"
"Matched_filter","sitting","HRV_LnHF","0.763807594138886","0.549997828399354","0.883655110394984"
"Matched_filter","sitting","HRV_SD1","0.0898551991791264","0.00418257221584075","0.174218376130812"
"Matched_filter","sitting","HRV_SD2","0.232894122877406","0.0765526450786604","0.378058200400049"
"Matched_filter","sitting","HRV_SD1SD2","0.0288607607164113","-0.116328317906152","0.172842192082164"
"Matched_filter","sitting","HRV_SampEn","0.155286501640907","-0.0847115708724067","0.378254561262659"
"Matched_filter","sitting","HRV_TP","0.652611541273126","0.356939123182036","0.829426180415683"
"Matched_filter","maths","HRV_MeanNN","0.995976746225179","0.991293237764847","0.998143268700076"
"Matched_filter","maths","HRV_SDNN","0.00223265746848784","-0.16930981979649","0.173643834628071"
"Matched_filter","maths","HRV_RMSSD","0.00738263919302727","-0.0930419637154269","0.107658545162519"
"Matched_filter","maths","HRV_SDSD","0.00753104264365467","-0.0929794641467812","0.107889608202325"
"Matched_filter","maths","HRV_CVSD","-0.0377049804515943","-0.1154244147155","0.0404732948914154"
"Matched_filter","maths","HRV_CVNN","-0.0536980060318103","-0.204503699575911","0.0995976326552051"
"Matched_filter","maths","HRV_TINN","0.123229328569137","0.0179846123083598","0.225773199958678"
"Matched_filter","maths","HRV_HTI","0.889300603475482","0.764414841195905","0.949864473383856"
"Matched_filter","maths","HRV_SDRMSSD","0.124366124792012","-0.0213120484643565","0.264873065647619"
"Matched_filter","maths","HRV_pNN20","0.904160008594971","0.810713219841658","0.952679746464677"
"Matched_filter","maths","HRV_pNN50","0.670094225738236","0.456988074072666","0.810447131447257"
"Matched_filter","maths","HRV_IQRNN","0.937169219159993","0.865972320508166","0.971130722146774"
"Matched_filter","maths","HRV_LF","0.896768748462146","0.777406700250804","0.953788934193965"
"Matched_filter","maths","HRV_HF","0.180882603467899","-0.127350016433124","0.457255107384264"
"Matched_filter","maths","HRV_LFHF","0.221441694824619","-0.0667496543261653","0.475530139771872"
"Matched_filter","maths","HRV_LFn","0.256840788195155","-0.0701861259539253","0.534016997309027"
"Matched_filter","maths","HRV_HFn","0.415270849816362","0.0730938153037358","0.669977913301515"
"Matched_filter","maths","HRV_LnHF","0.508665733523823","0.187292134517167","0.731676908919827"
"Matched_filter","maths","HRV_SD1","0.00753104266572993","-0.0929794641334472","0.107889608232671"
"Matched_filter","maths","HRV_SD2","0.0390071971836655","-0.178565013807048","0.25294258567197"
"Matched_filter","maths","HRV_SD1SD2","0.0964740264509608","-0.0957304605771518","0.281743169208839"
"Matched_filter","maths","HRV_SampEn","0.560902389058055","0.291092155953199","0.748061354494197"
"Matched_filter","maths","HRV_TP","0.520284045902295","0.19739618478727","0.74133491721645"
"Matched_filter","walking","HRV_MeanNN","0.832856826642182","0.661156049788094","0.921655860514698"
"Matched_filter","walking","HRV_SDNN","0.199392632137174","0.0638159705948392","0.327742612661477"
"Matched_filter","walking","HRV_RMSSD","0.0894072204448054","0.0133914959153576","0.164395438399102"
"Matched_filter","walking","HRV_SDSD","0.0894386750722788","0.0134094224974324","0.164439695314531"
"Matched_filter","walking","HRV_CVSD","0.0774608958018392","0.00409606818520759","0.14999632293579"
"Matched_filter","walking","HRV_CVNN","0.110471875106967","-0.00180281683500945","0.219996099458584"
"Matched_filter","walking","HRV_TINN","0.0548824729283886","-0.0144433161852869","0.123683138804376"
"Matched_filter","walking","HRV_HTI","0.383428728365255","0.119149575496237","0.596971229767336"
"Matched_filter","walking","HRV_SDRMSSD","0.11303224645106","-0.0234904353365135","0.245416292183253"
"Matched_filter","walking","HRV_pNN20","0.284375494116695","0.051996102593849","0.487540811291265"
"Matched_filter","walking","HRV_pNN50","0.131714474382773","0.00700645531915949","0.252388166884717"
"Matched_filter","walking","HRV_IQRNN","0.155826547297188","-0.0325740915859603","0.333533350338758"
"Matched_filter","walking","HRV_LF","0.489281773151686","0.136613139600844","0.73187743928213"
"Matched_filter","walking","HRV_HF","0.161254234365079","-0.0994068215092795","0.401205194167044"
"Matched_filter","walking","HRV_LFHF","0.279140534528997","0.0176768575634412","0.504870039168728"
"Matched_filter","walking","HRV_LFn","0.273839418635042","0.053967460141396","0.468385167573272"
"Matched_filter","walking","HRV_HFn","0.282449647062971","0.00127933127863249","0.522232734450636"
"Matched_filter","walking","HRV_LnHF","0.263050637364373","0.0197606069181542","0.476930044516852"
"Matched_filter","walking","HRV_SD1","0.0894386750801589","0.0134094225065337","0.164439695321131"
"Matched_filter","walking","HRV_SD2","0.26546447257534","0.100714407949485","0.416044630776135"
"Matched_filter","walking","HRV_SD1SD2","0.155105678327116","0.0117639792338198","0.292200992515145"
"Matched_filter","walking","HRV_SampEn","0.126715650561842","-0.15907005938592","0.392907268864703"
"Matched_filter","walking","HRV_TP","0.216931437993632","-0.0762862551746501","0.475615206078053"
"Matched_filter","hand_bike","HRV_MeanNN","0.98125512704091","0.960784136573493","0.99108866440866"
"Matched_filter","hand_bike","HRV_SDNN","0.317508225659762","0.0699027221016659","0.528261133063433"
"Matched_filter","hand_bike","HRV_RMSSD","0.227850240225806","0.0242900203121615","0.41326873781448"
"Matched_filter","hand_bike","HRV_SDSD","0.228020122973679","0.024362670773269","0.413505607974908"
"Matched_filter","hand_bike","HRV_CVSD","0.170375846741147","-0.00874568143757179","0.338903605503828"
"Matched_filter","hand_bike","HRV_CVNN","0.249219524224775","0.0280998383614472","0.44708710019177"
"Matched_filter","hand_bike","HRV_TINN","0.0723786708659307","0.00598789633991883","0.138134170743213"
"Matched_filter","hand_bike","HRV_HTI","0.405638905264879","0.0834041430195133","0.65107465095338"
"Matched_filter","hand_bike","HRV_SDRMSSD","0.0573284059314482","-0.112182174684827","0.223596814241128"
"Matched_filter","hand_bike","HRV_pNN20","0.274587186833803","0.0152051996003591","0.499342880387429"
"Matched_filter","hand_bike","HRV_pNN50","0.0789827779719718","-0.0709267074460489","0.225403183959531"
"Matched_filter","hand_bike","HRV_IQRNN","0.659029551258665","0.405608744235174","0.818365455484625"
"Matched_filter","hand_bike","HRV_LF","0.38861466704315","0.000728287459596205","0.674855468828999"
"Matched_filter","hand_bike","HRV_HF","0.305131439670547","-0.0753735001060517","0.608069804360032"
"Matched_filter","hand_bike","HRV_LFHF","0.635079117696691","0.380088062348279","0.800356490025926"
"Matched_filter","hand_bike","HRV_LFn","0.433233830550971","0.133790891764981","0.66018636758386"
"Matched_filter","hand_bike","HRV_HFn","0.412928483171245","0.0933432492063094","0.655371781064717"
"Matched_filter","hand_bike","HRV_LnHF","0.40845207309757","0.0833532466520918","0.654971920443188"
"Matched_filter","hand_bike","HRV_SD1","0.228020122878383","0.0243626707042552","0.413505607865486"
"Matched_filter","hand_bike","HRV_SD2","0.343472191488826","0.0668426462843312","0.571067293933945"
"Matched_filter","hand_bike","HRV_SD1SD2","0.154756626227861","-0.0452890971503735","0.342869225253295"
"Matched_filter","hand_bike","HRV_SampEn","0.158136647641276","-0.203010842519899","0.481412117976833"
"Matched_filter","hand_bike","HRV_TP","0.275967538705151","-0.116674385749747","0.594004934552795"
"Wavelet_transform","sitting","HRV_MeanNN","0.999157813170578","0.998149036795486","0.99961691104826"
"Wavelet_transform","sitting","HRV_SDNN","0.693147805309296","0.49835304593738","0.82132186887927"
"Wavelet_transform","sitting","HRV_RMSSD","0.211869372246218","0.060926136646009","0.353338885031472"
"Wavelet_transform","sitting","HRV_SDSD","0.212503770290947","0.0613189844401261","0.354156263504107"
"Wavelet_transform","sitting","HRV_CVSD","0.0579786472115092","-0.0594651196445656","0.173839249080922"
"Wavelet_transform","sitting","HRV_CVNN","0.53656276280408","0.306581211542792","0.707352255693506"
"Wavelet_transform","sitting","HRV_TINN","0.11422050551818","-0.0108702228055145","0.235791322214666"
"Wavelet_transform","sitting","HRV_HTI","0.391925149791715","0.0607217352636445","0.645385036068333"
"Wavelet_transform","sitting","HRV_SDRMSSD","-0.0166546161740204","-0.115749929439878","0.0827689643879694"
"Wavelet_transform","sitting","HRV_pNN20","0.200607338888656","0.0295104834731779","0.360283370771686"
"Wavelet_transform","sitting","HRV_pNN50","0.189598635212648","0.0462495607422625","0.325296460228383"
"Wavelet_transform","sitting","HRV_IQRNN","0.871041669903149","0.763400388553976","0.931610664870423"
"Wavelet_transform","sitting","HRV_LF","0.857160760682608","0.708380806955169","0.933011675364453"
"Wavelet_transform","sitting","HRV_HF","0.575770006669088","0.36105850791462","0.732509475527479"
"Wavelet_transform","sitting","HRV_LFHF","0.439908999265835","0.225021412154417","0.613987591616409"
"Wavelet_transform","sitting","HRV_LFn","0.424876247979673","0.194223361114143","0.611010718991326"
"Wavelet_transform","sitting","HRV_HFn","0.783201815277004","0.612621067486577","0.88406803416866"
"Wavelet_transform","sitting","HRV_LnHF","0.63811781517312","0.406876463831258","0.79250170859003"
"Wavelet_transform","sitting","HRV_SD1","0.212503770236747","0.061318984386445","0.354156263451945"
"Wavelet_transform","sitting","HRV_SD2","0.917029386539182","0.830831876847854","0.960259389115848"
"Wavelet_transform","sitting","HRV_SD1SD2","-0.0324053733041643","-0.124421445788995","0.0601633249969405"
"Wavelet_transform","sitting","HRV_SampEn","0.192422871995212","-0.0551078004984733","0.417671102264225"
"Wavelet_transform","sitting","HRV_TP","0.658761851598328","0.41342299678705","0.814923019463367"
"Wavelet_transform","maths","HRV_MeanNN","0.999416957712334","0.998678266794105","0.999742861792584"
"Wavelet_transform","maths","HRV_SDNN","0.640718184078496","0.432234790681341","0.784182255549833"
"Wavelet_transform","maths","HRV_RMSSD","0.135932507160887","0.0340910127497603","0.234980032959912"
"Wavelet_transform","maths","HRV_SDSD","0.136273776940488","0.0342943688425814","0.235444650147723"
"Wavelet_transform","maths","HRV_CVSD","-0.000453769845379478","-0.0655829800648493","0.0646792902170246"
"Wavelet_transform","maths","HRV_CVNN","0.518810491750797","0.288851035148356","0.692169812053252"
"Wavelet_transform","maths","HRV_TINN","0.181849001941668","0.0168653730889996","0.337192573858683"
"Wavelet_transform","maths","HRV_HTI","0.59516062426097","0.349486123572415","0.764261044773249"
"Wavelet_transform","maths","HRV_SDRMSSD","0.0489082261643318","-0.0299904284204331","0.127201199159642"
"Wavelet_transform","maths","HRV_pNN20","0.0690949936278363","-0.00659988753146114","0.144002562321553"
"Wavelet_transform","maths","HRV_pNN50","0.0929108499677115","0.0108130191683572","0.173764473060634"
"Wavelet_transform","maths","HRV_IQRNN","0.798111657801772","0.64183328002051","0.890739141166028"
"Wavelet_transform","maths","HRV_LF","0.946041252561057","0.880117273225738","0.976172807107952"
"Wavelet_transform","maths","HRV_HF","0.418717366611298","0.19223971366941","0.60284829411934"
"Wavelet_transform","maths","HRV_LFHF","0.10774553058494","-0.0386816013400972","0.249642687854626"
"Wavelet_transform","maths","HRV_LFn","0.231120730126599","0.0313002315917599","0.413176648786613"
"Wavelet_transform","maths","HRV_HFn","0.470260372702843","0.218431050704689","0.663366049817621"
"Wavelet_transform","maths","HRV_LnHF","0.608933134439776","0.390804447826898","0.762306724666904"
"Wavelet_transform","maths","HRV_SD1","0.13627377695516","0.0342943688503822","0.235444650168587"
"Wavelet_transform","maths","HRV_SD2","0.908318833335983","0.810348388312633","0.956884910118894"
"Wavelet_transform","maths","HRV_SD1SD2","0.0824405325824188","-0.0319376224235942","0.19468736254052"
"Wavelet_transform","maths","HRV_SampEn","0.05730685285573","-0.133834101031702","0.244336967938135"
"Wavelet_transform","maths","HRV_TP","0.614010512752765","0.395255025198131","0.766857672166876"
"Wavelet_transform","walking","HRV_MeanNN","0.999034702211263","0.997804761177054","0.999575682374852"
"Wavelet_transform","walking","HRV_SDNN","0.672823185777705","0.471504259718902","0.807486954733109"
"Wavelet_transform","walking","HRV_RMSSD","0.124867999002844","0.0113210250546063","0.235235730122129"
"Wavelet_transform","walking","HRV_SDSD","0.125033795368649","0.0114016928607623","0.23547771363516"
"Wavelet_transform","walking","HRV_CVSD","0.0806963222504129","-0.0316676966057958","0.191046062018418"
"Wavelet_transform","walking","HRV_CVNN","0.522294080960379","0.29020877444463","0.696352567837682"
"Wavelet_transform","walking","HRV_TINN","0.161410512308716","0.0303439981586413","0.287020183290944"
"Wavelet_transform","walking","HRV_HTI","0.417443699504219","0.235889892731126","0.57083943902689"
"Wavelet_transform","walking","HRV_SDRMSSD","0.0796232178562622","-0.0141543340425973","0.172012252847124"
"Wavelet_transform","walking","HRV_pNN20","0.00411162270058796","-0.0415777358185537","0.0497838212083697"
"Wavelet_transform","walking","HRV_pNN50","0.0339911660555728","-0.0112947495364697","0.0791379301410341"
"Wavelet_transform","walking","HRV_IQRNN","0.676624314426697","0.475656574698907","0.810459710423383"
"Wavelet_transform","walking","HRV_LF","0.971265679191459","0.935723369561131","0.987283675334031"
"Wavelet_transform","walking","HRV_HF","0.337540929047444","0.0076871037446682","0.601147478210227"
"Wavelet_transform","walking","HRV_LFHF","0.290513112833948","0.0893681051712168","0.468889553760249"
"Wavelet_transform","walking","HRV_LFn","0.381014792294297","0.165010902914131","0.562141775272452"
"Wavelet_transform","walking","HRV_HFn","0.499574329246824","0.216154055052138","0.705345301497806"
"Wavelet_transform","walking","HRV_LnHF","0.363095921054575","0.12101497581136","0.56441169053095"
"Wavelet_transform","walking","HRV_SD1","0.125033795393702","0.0114016928679468","0.235477713676453"
"Wavelet_transform","walking","HRV_SD2","0.897315086056207","0.790787009614553","0.951082386243275"
"Wavelet_transform","walking","HRV_SD1SD2","0.0763458917162476","-0.0376239658302355","0.188355107691538"
"Wavelet_transform","walking","HRV_SampEn","0.196044109377626","0.053899928432299","0.330400880703888"
"Wavelet_transform","walking","HRV_TP","0.53341645983492","0.240934127593126","0.737077872850623"
"Wavelet_transform","hand_bike","HRV_MeanNN","0.991009030365099","0.979703359327953","0.996029825591633"
"Wavelet_transform","hand_bike","HRV_SDNN","0.622479751547093","0.375594223788088","0.786872747628636"
"Wavelet_transform","hand_bike","HRV_RMSSD","0.343557752084734","0.136014995001995","0.522213564072844"
"Wavelet_transform","hand_bike","HRV_SDSD","0.343912779761773","0.136294775522139","0.522591745940437"
"Wavelet_transform","hand_bike","HRV_CVSD","0.253273176782664","0.0544288052465367","0.4327958898156"
