,sensitivity,JF,method,experiment,subject_idx
222,99.46524064171123,55.55555555555556,Pan_Tompkins,hand_bike,5
223,97.86096256684492,99.42528735632183,WQRS,hand_bike,5
224,99.58677685950413,71.42857142857143,Elgendi_et_al,jogging,5
225,99.58677685950413,100.0,Matched_filter,jogging,5
226,99.58677685950413,45.45454545454545,Wavelet_transform,jogging,5
227,99.58677685950413,100.0,Engzee,jogging,5
228,100.0,71.42857142857143,Christov,jogging,5
229,100.0,71.42857142857143,Hamilton,jogging,5
230,99.58677685950413,45.45454545454545,Pan_Tompkins,jogging,5
231,96.69421487603306,100.0,WQRS,jogging,5
232,99.36305732484077,100.0,Elgendi_et_al,sitting,6
233,98.72611464968153,100.0,Matched_filter,sitting,6
234,99.36305732484077,71.42857142857143,Wavelet_transform,sitting,6
235,98.72611464968153,100.0,Engzee,sitting,6
236,100.0,100.0,Christov,sitting,6
237,99.36305732484077,100.0,Hamilton,sitting,6
238,98.72611464968153,71.42857142857143,Pan_Tompkins,sitting,6
239,99.36305732484077,100.0,WQRS,sitting,6
240,99.34640522875817,100.0,Elgendi_et_al,maths,6
241,100.0,100.0,Matched_filter,maths,6
242,99.34640522875817,71.42857142857143,Wavelet_transform,maths,6
243,98.69281045751634,100.0,Engzee,maths,6
244,98.0392156862745,71.42857142857143,Christov,maths,6
245,99.34640522875817,100.0,Hamilton,maths,6
246,99.34640522875817,45.45454545454545,Pan_Tompkins,maths,6
247,98.69281045751634,100.0,WQRS,maths,6
248,99.40119760479041,100.0,Elgendi_et_al,walking,6
249,98.20359281437125,100.0,Matched_filter,walking,6
250,98.80239520958084,71.42857142857143,Wavelet_transform,walking,6
251,99.40119760479041,100.0,Engzee,walking,6
252,99.40119760479041,100.0,Christov,walking,6
253,98.80239520958084,100.0,Hamilton,walking,6
254,99.40119760479041,71.42857142857143,Pan_Tompkins,walking,6
255,99.40119760479041,100.0,WQRS,walking,6
256,100.0,100.0,Elgendi_et_al,hand_bike,6
257,98.95833333333334,99.71988795518207,Matched_filter,hand_bike,6
258,100.0,71.42857142857143,Wavelet_transform,hand_bike,6
259,98.95833333333334,99.71830985915493,Engzee,hand_bike,6
260,100.0,99.4413407821229,Christov,hand_bike,6
261,98.4375,71.42857142857143,Hamilton,hand_bike,6
262,100.0,71.42857142857143,Pan_Tompkins,hand_bike,6
263,100.0,99.4413407821229,WQRS,hand_bike,6
264,100.0,100.0,Elgendi_et_al,jogging,6
265,98.38709677419355,100.0,Matched_filter,jogging,6
266,100.0,45.45454545454546,Wavelet_transform,jogging,6
267,98.79032258064517,99.78586723768737,Engzee,jogging,6
268,99.59677419354838,71.27627170271094,Christov,jogging,6
269,97.98387096774194,55.55555555555556,Hamilton,jogging,6
270,100.0,71.27627170271094,Pan_Tompkins,jogging,6
271,97.58064516129032,71.27627170271094,WQRS,jogging,6
272,98.78048780487805,100.0,Elgendi_et_al,sitting,7
273,98.78048780487805,71.42857142857143,Matched_filter,sitting,7
274,100.0,100.0,Wavelet_transform,sitting,7
275,98.78048780487805,100.0,Engzee,sitting,7
276,100.0,100.0,Christov,sitting,7
277,100.0,100.0,Hamilton,sitting,7
278,99.39024390243902,26.31578947368421,Pan_Tompkins,sitting,7
279,97.5609756097561,100.0,WQRS,sitting,7
280,99.45945945945947,71.42857142857143,Elgendi_et_al,maths,7
281,99.45945945945947,100.0,Matched_filter,maths,7
282,99.45945945945947,100.0,Wavelet_transform,maths,7
283,99.45945945945947,100.0,Engzee,maths,7
284,100.0,100.0,Christov,maths,7
285,100.0,100.0,Hamilton,maths,7
286,99.45945945945947,71.42857142857143,Pan_Tompkins,maths,7
287,93.51351351351352,99.41176470588235,WQRS,maths,7
288,99.44444444444444,83.33333333333334,Elgendi_et_al,walking,7
289,98.88888888888889,45.45454545454545,Matched_filter,walking,7
290,100.0,100.0,Wavelet_transform,walking,7
291,98.88888888888889,100.0,Engzee,walking,7
292,100.0,71.42857142857143,Christov,walking,7
293,100.0,71.42857142857143,Hamilton,walking,7
294,100.0,45.45454545454545,Pan_Tompkins,walking,7
295,91.66666666666666,70.33639143730888,WQRS,walking,7
296,99.35064935064936,100.0,Elgendi_et_al,hand_bike,7
297,98.7012987012987,71.42857142857143,Matched_filter,hand_bike,7
298,99.35064935064936,71.42857142857143,Wavelet_transform,hand_bike,7
299,99.35064935064936,100.0,Engzee,hand_bike,7
300,99.35064935064936,100.0,Christov,hand_bike,7
301,99.35064935064936,100.0,Hamilton,hand_bike,7
302,100.0,71.42857142857143,Pan_Tompkins,hand_bike,7
303,93.5064935064935,99.6415770609319,WQRS,hand_bike,7
304,63.035019455252915,13.556618819776714,Elgendi_et_al,jogging,7
305,71.98443579766537,28.011204481792717,Matched_filter,jogging,7
306,87.15953307392996,28.4629981024668,Wavelet_transform,jogging,7
307,84.43579766536965,91.70305676855895,Engzee,jogging,7
308,73.92996108949417,30.52208835341365,Christov,jogging,7
309,76.26459143968872,36.829836829836836,Hamilton,jogging,7
310,80.1556420233463,22.95238095238095,Pan_Tompkins,jogging,7
311,70.42801556420234,24.053845305086615,WQRS,jogging,7
312,100.0,100.0,Elgendi_et_al,sitting,8
