,sensitivity,JF,method,experiment,subject_idx
112,99.42857142857143,100.0,Elgendi_et_al,walking,3
113,97.14285714285714,100.0,Matched_filter,walking,3
114,99.42857142857143,45.45454545454545,Wavelet_transform,walking,3
115,99.42857142857143,100.0,Engzee,walking,3
116,99.42857142857143,100.0,Christov,walking,3
117,99.42857142857143,71.42857142857143,Hamilton,walking,3
118,98.85714285714286,71.42857142857143,Pan_Tompkins,walking,3
119,92.0,98.74213836477988,WQRS,walking,3
120,98.80239520958084,100.0,Elgendi_et_al,hand_bike,3
121,98.80239520958084,100.0,Matched_filter,hand_bike,3
122,100.0,38.46153846153847,Wavelet_transform,hand_bike,3
123,98.80239520958084,100.0,Engzee,hand_bike,3
124,100.0,100.0,Christov,hand_bike,3
125,100.0,71.42857142857143,Hamilton,hand_bike,3
126,100.0,71.42857142857143,Pan_Tompkins,hand_bike,3
127,98.80239520958084,100.0,WQRS,hand_bike,3
128,98.64864864864865,99.25925925925925,Elgendi_et_al,sitting,4
129,96.62162162162163,99.62825278810409,Matched_filter,sitting,4
130,98.64864864864865,26.120857699805068,Wavelet_transform,sitting,4
131,89.1891891891892,98.11320754716981,Engzee,sitting,4
132,99.32432432432432,99.62825278810409,Christov,sitting,4
133,4.054054054054054,97.8102189781022,Hamilton,sitting,4
134,98.64864864864865,99.62825278810409,Pan_Tompkins,sitting,4
135,90.54054054054053,97.76119402985076,WQRS,sitting,4
136,98.25581395348837,100.0,Elgendi_et_al,walking,4
137,64.53488372093024,34.8247740797884,Matched_filter,walking,4
138,99.4186046511628,29.411764705882355,Wavelet_transform,walking,4
139,54.06976744186046,75.09881422924902,Engzee,walking,4
140,48.837209302325576,26.518966096005375,Christov,walking,4
141,99.4186046511628,55.55555555555556,Hamilton,walking,4
142,6.395348837209303,71.20324470482198,Pan_Tompkins,walking,4
143,92.44186046511628,70.74829931972789,WQRS,walking,4
144,99.41176470588235,100.0,Elgendi_et_al,sitting,5
145,98.82352941176471,100.0,Matched_filter,sitting,5
146,99.41176470588235,71.42857142857143,Wavelet_transform,sitting,5
147,99.41176470588235,100.0,Engzee,sitting,5
148,100.0,100.0,Christov,sitting,5
149,79.41176470588235,71.42857142857143,Hamilton,sitting,5
150,99.41176470588235,71.42857142857143,Pan_Tompkins,sitting,5
151,97.05882352941177,100.0,WQRS,sitting,5
152,99.47916666666666,99.71988795518207,Elgendi_et_al,maths,5
153,98.95833333333334,100.0,Matched_filter,maths,5
154,99.47916666666666,55.55555555555556,Wavelet_transform,maths,5
155,100.0,100.0,Engzee,maths,5
156,100.0,71.22849139655862,Christov,maths,5
157,93.75,71.42857142857143,Hamilton,maths,5
158,99.47916666666666,62.324929971988794,Pan_Tompkins,maths,5
159,97.91666666666666,99.71988795518207,WQRS,maths,5
160,99.44444444444444,100.0,Elgendi_et_al,walking,5
161,97.22222222222221,99.1044776119403,Matched_filter,walking,5
